Year,Value
2000,-7.02
2001,-6.22
2002,-2.37
2003,7.28
2004,10.86
2005,20.41
2006,20.34
2007,18.31
2008,23.81
2009,7.88
2010,4.63
2011,10.73
2012,9.08
2013,0.14
2014,2.54
2015,1.1
2016,-0.14
2017,5.31
2018,1.68
