Year,Value
2000,54.9
2001,49.2
2002,45.3
2003,44.7
2004,44.8
2005,44.5
2006,43.3
2007,41.2
2008,38.7
2009,36.1
2010,34.2
2011,33.3
2012,33.6
2013,35.6
2014,38.5
2015,41.1
